Semana,Fecha,Sede,Hora,Aula,Curso,Tema,Grupo,Asistente,Edades,Número de alumnos
1,Miércoles 15 de enero,Miraflores,9:00-10:40,SUR – 101,Robótica,Electrónica básica,Junior A,Laurie,10-13,37
2,Lunes 20 de enero,SMP,9:00-10:40,NORTE,Ciencia y vida (Física),"Circuitos eléctricos: serie, paralelo",Junior C2,Por definir,15-16,31
2,Lunes 20 de enero,SMP,11:00-12:40,NORTE,Robótica,"Arduino, Tinkercad y Programación Visual",Junior C2,Por definir,15-16,31
2,Miércoles 22 de enero,Miraflores,9:00-10:40,SUR – 101,Robótica,"Arduino, Tinkercad y Programación Visual",Junior A,Laurie,10-13,37
3,Lunes 27 de enero,SMP,9:00-10:40,NORTE,Ciencia y vida (Física),Electromagnetismo,Junior C2,Por definir,15-16,31
3,Lunes 27 de enero,SMP,11:00-12:40,NORTE,Robótica,Programando Luces,Junior C2,Por definir,15-16,31
3,Miércoles 29 de enero,Miraflores,9:00-10:40,SUR – 101,Robótica,Programando Luces,Junior A,Laurie,10-13,37
4,Miércoles 5 de febrero,Miraflores,9:00-10:40,SUR – 101,Herramientas Digitales,TinyML,Junior A,Laurie,10-13,37
4,Miércoles 7 de febrero,Miraflores,9:00-10:40,SUR – 102,Herramientas Digitales,TinyML,Junior B,Por definir,13-14,24
4,Miércoles 7 de febrero,Miraflores,11:00-12:40,SUR – 103,Herramientas Digitales,TinyML,Junior C,Por definir,14-16,22
